relation_id,source_candidate_id,target_candidate_id,relation_type,relation_class,anchor_relation,evidence_basis,confidence,provenance_note
FT-REL-7C78259D7FBAA8,FT-SEED-R1B-P-0607-10,FT-SEED-R1B-P-0607-15,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-9265C668B0BCF9,FT-SEED-R1B-P-0607-10,FT-SEED-R1B-P-0607-29,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-D8CECA6CB635A6,FT-SEED-R1B-P-0607-10,FT-SEED-R1B-P-2015-01,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-097363B9AB6C11,FT-SEED-R1B-P-0607-10,FT-SEED-R1B-P-2015-02,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-61D09E8106FC88,FT-SEED-R1B-P-0607-10,FT-SEED-R1B-P-2015-09,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-3D2894468297D8,FT-SEED-R1B-P-0607-10,FT-SEED-R1B-P-2022-01,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-231EF70732EB6E,FT-SEED-R1B-P-0607-22,FT-SEED-R1B-P-0607-23,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-B13115D1EBBE93,FT-SEED-R1B-P-1842-01,FT-SEED-R1B-P-1842-03,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-B7FF226591EF9A,FT-SEED-R1B-P-1842-01,FT-SEED-R1B-P-1842-04,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-98EF02AA9B4702,FT-SEED-R1B-P-1842-01,FT-SEED-R1B-P-1842-05,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-B7726CC552C132,FT-SEED-R1B-P-1842-01,FT-SEED-R1B-P-1842-07,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-DB1303C51AED46,FT-SEED-R1B-P-1842-01,FT-SEED-R1B-P-1842-08,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-01FEA9E2EC884A,FT-SEED-R1B-P-1842-01,FT-SEED-R1B-P-1842-09,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-E5A744B92B7E8F,FT-SEED-R1B-P-1842-01,FT-SEED-R1B-P-1842-10,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-3343719D93734C,FT-SEED-R1B-P-1842-01,FT-SEED-R1B-P-1842-11,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-B864FB28244FCB,FT-SEED-R1B-P-1842-01,FT-SEED-R1B-P-1842-18,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-9FFE103FFDB9D8,FT-SEED-R1B-P-1842-01,FT-SEED-R1B-P-1938-11,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-899360E4F45384,FT-SEED-R1B-P-1842-01,FT-SEED-R1B-P-1938-15,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-A1F4375151FD7A,FT-SEED-R1B-P-1842-01,FT-SEED-R1B-P-1938-22,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-877FE371ED7EC0,FT-SEED-R1B-P-1842-01,FT-SEED-R1B-P-1988-14,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-0D20421696B24A,FT-SEED-R1B-P-1842-02,FT-SEED-R1B-P-1842-06,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-58ECFE9EED71B2,FT-SEED-R1B-P-1842-02,FT-SEED-R1B-P-1938-09,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-DEB34CF14139AE,FT-SEED-R1B-P-1842-02,FT-SEED-R1B-P-1938-10,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-29044E0D0644F2,FT-SEED-R1B-P-1842-02,FT-SEED-R1B-P-1938-16,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-4F901F31D38B21,FT-SEED-R1B-P-1842-12,FT-SEED-R1B-P-0607-02,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-AC02849B040BC2,FT-SEED-R1B-P-1842-12,FT-SEED-R1B-P-1842-13,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-7A4A236E434B7E,FT-SEED-R1B-P-1842-12,FT-SEED-R1B-P-1842-14,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-67A423DA5FE597,FT-SEED-R1B-P-1842-12,FT-SEED-R1B-P-1842-15,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-C838DE6B937C86,FT-SEED-R1B-P-1842-12,FT-SEED-R1B-P-1938-04,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-DD65A2A48C6F0A,FT-SEED-R1B-P-1842-12,FT-SEED-R1B-P-1938-05,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-C576790BB2E308,FT-SEED-R1B-P-1842-12,FT-SEED-R1B-P-1938-06,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-FCBF2F63C7C7CE,FT-SEED-R1B-P-1842-12,FT-SEED-R1B-P-1938-07,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-384D65C5787BFE,FT-SEED-R1B-P-1842-12,FT-SEED-R1B-P-1938-08,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-5F328AFC15F169,FT-SEED-R1B-P-1842-12,FT-SEED-R1B-P-1938-12,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-78610FBF8D88AF,FT-SEED-R1B-P-1842-12,FT-SEED-R1B-P-1988-04,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-74561D3EB099A6,FT-SEED-R1B-P-1842-12,FT-SEED-R1B-P-1988-13,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-CA2AEF70FE933F,FT-SEED-R1B-P-1842-12,FT-SEED-R1B-P-2015-06,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-565BA218C54BA9,FT-SEED-R1B-P-1842-16,FT-SEED-R1B-P-1842-17,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-3286059DF5439F,FT-SEED-R1B-P-1842-16,FT-SEED-R1B-P-1842-21,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-EB67FB5FCA4D9E,FT-SEED-R1B-P-1842-16,FT-SEED-R1B-P-1842-27,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-84C0D3CBE94840,FT-SEED-R1B-P-1842-16,FT-SEED-R1B-P-1842-28,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-0FE1C25348BFA0,FT-SEED-R1B-P-1842-16,FT-SEED-R1B-P-1938-24,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-1EBAD8C52B04DA,FT-SEED-R1B-P-1842-16,FT-SEED-R1B-P-1938-27,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-3FCC5BC0B85CFF,FT-SEED-R1B-P-1842-19,FT-SEED-R1B-P-1938-30,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-DC6A96EEE1505A,FT-SEED-R1B-P-1842-19,FT-SEED-R1B-P-2022-23,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-5E87E524C7879A,FT-SEED-R1B-P-1842-20,FT-SEED-R1B-P-1842-26,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-D98BE9265C82C1,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-0607-06,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-93B8892C7C51B3,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-0607-07,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-31401BA4680006,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-0607-13,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-1E77C577F83C6E,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-0607-16,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-E35D47C4BA3E9B,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-0607-17,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-86BD37326F98D6,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-0607-18,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-DB9DCDF6354D0B,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-0607-19,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-712A7B67ADDFFF,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-0607-20,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-CE6F89AC07E756,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-0607-24,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-87E3BCF8570936,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-0607-28,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-01E81962F9D580,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-1842-23,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-6EA00DDC814F46,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-1842-24,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,WITHIN_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-324D3559A91CAD,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-1938-28,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-402880BE4F1229,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-1938-29,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-988FA8C6F60C40,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-1988-05,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-51A243F5E865CD,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-1988-09,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-74D27FB9B288F1,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-1988-11,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-7BC56D45384BB9,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-1988-18,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-213761D72105AF,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-1988-20,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-495DCF1072327E,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-1988-22,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-4AE7FDDB619C30,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-1988-25,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-7F390C377AEA1B,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-1988-26,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-1A3BB6D77E4013,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-2015-08,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-F2F8BD86774213,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-2015-11,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-0395A62E9B72DA,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-2015-15,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-0285E80FA2A9AC,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-2015-16,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-F32C24468FBA80,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-2015-18,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-9DDB824FA11AB0,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-2015-24,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-AB997E888B914B,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-2015-27,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-D60000DF45467D,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-2015-28,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-03E62629BFFF72,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-2015-29,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-F456A9CABAE52A,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-2022-24,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-753C2370ECA8DC,FT-SEED-R1B-P-1842-22,FT-SEED-R1B-P-2022-26,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-30F358CAEAD6AA,FT-SEED-R1B-P-1842-29,FT-SEED-R1B-P-2022-27,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
FT-REL-509E6B14E9FBA1,FT-SEED-R1B-P-1938-01,FT-SEED-R1B-P-0607-08,SAME_CANONICAL_CONCEPT,COMPUTATIONAL_STRUCTURAL,CROSS_ANCHOR,Canonical concept equality in candidate ledger,HIGH,Derived from controlled candidate metadata; no semantic evolution is asserted.
